date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-09-03,29.3,26.7,33.9,0.5,,,7.2,,1014.9,421
2015-09-04,28.3,24.4,34.4,9.4,,,6.5,,1014.5,406
2015-09-05,27.4,24.4,33.3,1.8,,,4,,1014.9,297
2015-09-06,26.5,24.4,32.8,7.9,,,4.7,,1014.4,279
2015-09-07,26.2,24.4,30,8.6,,,4.3,,1014.4,233
2015-09-08,28.7,25.6,32.8,4.8,,,7.6,,1015.3,359
2015-09-09,29.6,26.7,32.2,0,,,7.6,,1015.8,279
2015-09-10,29.5,26.1,33.3,1.3,,,6.8,,1015.2,369
2015-09-11,29.7,27.2,33.3,0,,,6.5,,1015.2,356
2015-09-12,29.7,26.1,32.8,15,,,9,,1013.8,328
2015-09-13,29.4,25.6,33.3,1,,,11.9,,1014.1,548
2015-09-14,28.8,26.1,32.8,0,,,11.2,,1016.7,168
2015-09-15,29.7,26.1,32.2,3.8,,93,20.5,,1018.1,210
2015-09-16,26.9,23.9,30,35.3,,68,12.2,,1017.7,0
2015-09-17,25.9,23.3,31.1,42.9,,,5,,,168
2015-09-18,26.2,23.3,31.1,12.4,,,4.7,,1009,367
2015-09-19,27.9,24.4,32.8,0,,,10.4,,1009.6,458
2015-09-20,29,23.3,33.9,11.4,,,9.4,,1012.2,566
2015-09-21,26.9,23.9,31.7,21.3,,,8.6,,,340
2015-09-22,26.7,22.8,30.6,26.9,,,7.6,,,238
2015-09-23,26.3,24.4,30.6,0,,,6.5,,1012.8,230
2015-09-24,26.8,23.3,29.4,5.6,,,10.4,,1012.8,192
2015-09-25,27.6,25,32.2,0.5,,,5.8,,1012.9,96
2015-09-26,27.6,24.4,31.7,0,,,6.5,,1012.8,261
2015-09-27,28.1,24.4,30.6,0,,,6.8,,1013.1,36
2015-09-28,27.6,23.9,31.1,0.3,,,7.9,,1012.4,412
2015-09-29,27.8,25,31.7,12.7,,,7.2,,1010.9,134
2015-09-30,28.2,25.6,33.3,0,,,9.7,,1008.1,
